ins,Num_Run,i,date,alpha,iter,time,num_vehi,obj,DiffRoute,Dis,BestVehi,BestKnown,BestDiffRoute,BestDis,gap
C101,10.0,6,2023-08-05,0.99,6159,7.519382381,3,327.8,"(7, 9)",256.4,3,335.8,"(5, 10)",267.59999999999997,-2.38
C102,10.0,9,2023-08-05,0.99,13042,12.649817258,4,287.4,"(3, 9)",271.79999999999995,3,243.4,"(6, 10)",242.79999999999995,18.08
C103,10.0,10,2023-08-05,0.99,11854,11.34701081,4,292.0,"(5, 9)",277.7,3,286.7,"(5, 10)",286.29999999999995,1.85
C104,10.0,10,2023-08-05,0.99,14390,13.4129209,4,259.0,"(2, 9)",254.69999999999996,3,265.0,"(7, 10)",265.0,-2.26
C105,10.0,2,2023-08-05,0.99,7639,9.846979468,4,353.2,"(2, 10)",304.59999999999997,3,282.8,"(7, 10)",279.2,24.89
C106,10.0,9,2023-08-05,0.99,8562,10.252666549,3,348.9,"(6, 10)",198.09999999999997,3,324.9,"(7, 9)",265.69999999999993,7.39
C107,10.0,4,2023-08-05,0.99,20000,26.935038117,3,353.5,"(6, 10)",232.89999999999995,3,199.7,"(6, 10)",199.29999999999998,77.02
C108,10.0,6,2023-08-05,0.99,20000,19.392777455,4,285.4,"(4, 9)",247.39999999999998,3,247.6,"(7, 9)",246.4,15.27
C109,10.0,6,2023-08-05,0.99,12841,12.092862454,4,265.7,"(4, 8)",259.9,3,242.3,"(8, 9)",242.1,9.66
C201,10.0,1,2023-08-05,0.99,12953,22.3100025,2,322.2,"(7, 18)",226.69999999999996,2,322.2,"(7, 18)",226.7,-0.0
C202,10.0,8,2023-08-05,0.99,12259,12.385098742,1,261.3,"(25, 25)",261.3,2,228.0,"(8, 17)",226.99999999999997,14.61
C203,10.0,9,2023-08-05,0.99,12193,10.426282371,1,237.3,"(25, 25)",237.29999999999995,2,226.1,"(7, 18)",226.1,4.95
C204,10.0,10,2023-08-05,0.99,13345,10.87361154,2,232.4,"(9, 16)",232.3,2,226.1,"(7, 18)",226.09999999999997,2.79
C205,10.0,2,2023-08-05,0.99,11047,11.543706422,2,227.7,"(9, 16)",227.7,2,227.7,"(9, 16)",227.70000000000002,-0.0
C206,10.0,2,2023-08-05,0.99,12260,12.094616007,2,227.9,"(8, 17)",227.7,2,227.9,"(8, 17)",227.7,0.0
C207,10.0,6,2023-08-05,0.99,12364,10.742945957,3,296.1,"(2, 13)",286.9000000000001,2,234.3,"(10, 15)",234.2,26.38
C208,10.0,5,2023-08-05,0.99,11966,10.763243483,3,248.8,"(1, 17)",244.79999999999995,2,227.2,"(7, 18)",226.7,9.51
R101,10.0,1,2023-08-05,0.99,9746,19.439571485,8,1142.4,"(2, 4)",692.4999999999999,8,1206.2,"(3, 4)",774.3999999999999,-5.29
R102,10.0,10,2023-08-05,0.99,7755,10.174841072,7,733.5,"(3, 5)",631.1000000000001,7,833.6,"(3, 5)",779.2000000000002,-12.01
R103,10.0,10,2023-08-05,0.99,9591,11.224392402,5,536.8,"(3, 6)",504.6,5,534.1,"(4, 6)",524.3000000000002,0.51
R104,10.0,1,2023-08-05,0.99,9110,12.775506143,5,515.7,"(3, 7)",490.3,4,508.3,"(5, 8)",458.00000000000006,1.46
R105,10.0,6,2023-08-05,0.99,10672,13.586436031,6,649.0,"(3, 5)",566.8999999999999,6,787.1,"(4, 5)",780.8,-17.55
R106,10.0,7,2023-08-05,0.99,6436,9.253815396,5,552.6,"(4, 7)",545.6000000000001,Inf,Inf,Inf,Inf,NaN
R107,10.0,5,2023-08-05,0.99,16279,18.656520359,5,528.6,"(3, 7)",500.4,4,521.0,"(3, 8)",445.6000000000001,1.46
R108,10.0,2,2023-08-05,0.99,9442,12.540328363,4,472.4,"(6, 7)",457.50000000000006,4,476.0,"(3, 8)",455.8,-0.76
R109,10.0,10,2023-08-05,0.99,8054,10.170249264,6,556.3,"(2, 5)",528.4,5,587.9,"(4, 6)",563.4999999999999,-5.38
R110,10.0,3,2023-08-05,0.99,10122,15.049120138,6,560.1,"(3, 6)",538.6000000000001,4,484.8,"(4, 7)",480.50000000000006,15.53
R111,10.0,5,2023-08-05,0.99,11753,13.020191053,5,511.7,"(4, 6)",490.7,5,604.0,"(2, 6)",601.4000000000001,-15.28
R112,10.0,3,2023-08-05,0.99,9882,14.428200615,7,663.1,"(2, 5)",623.1,4,530.2,"(5, 7)",528.9000000000001,25.07
R201,10.0,10,2023-08-05,0.99,12437,11.894298101,3,611.4,"(5, 14)",559.6,4,796.9,"(4, 10)",543.7,-23.28
R202,10.0,1,2023-08-05,0.99,9637,9.823941458,2,480.4,"(11, 14)",469.6000000000001,4,698.1,"(2, 11)",692.0,-31.18
R203,10.0,4,2023-08-05,0.99,13089,11.477326771,3,479.1,"(4, 11)",457.7000000000002,3,508.0,"(7, 10)",505.6000000000001,-5.69
R204,10.0,9,2023-08-05,0.99,13535,10.92911413,2,413.4,"(9, 16)",412.70000000000005,2,404.7,"(10, 15)",404.5000000000001,2.15
R205,10.0,4,2023-08-05,0.99,7335,7.394635484,3,442.6,"(6, 11)",436.2,3,452.8,"(3, 14)",450.00000000000006,-2.25
R206,10.0,1,2023-08-05,0.99,11501,11.532161991,3,416.6,"(4, 12)",397.0,3,416.7,"(4, 13)",413.9000000000001,-0.02
R207,10.0,5,2023-08-05,0.99,11748,10.495924099,3,429.8,"(5, 12)",420.59999999999997,3,439.5,"(5, 11)",437.10000000000014,-2.21
R208,10.0,1,2023-08-05,0.99,13586,12.139922642,2,369.5,"(5, 20)",367.90000000000003,2,365.9,"(11, 14)",365.30000000000007,0.98
R209,10.0,8,2023-08-05,0.99,7506,6.880222702,2,373.7,"(10, 15)",370.7,2,373.7,"(10, 15)",370.70000000000005,-0.0
R210,10.0,5,2023-08-05,0.99,13971,12.048825347,2,483.6,"(12, 13)",480.9000000000001,3,605.2,"(7, 11)",605.0000000000001,-20.09
R211,10.0,2,2023-08-05,0.99,12725,13.428608426,4,434.1,"(3, 8)",424.70000000000005,2,363.2,"(10, 15)",363.1,19.52
RC101,10.0,2,2023-08-05,0.99,11311,16.029647932,5,567.7,"(3, 8)",501.70000000000005,4,565.9,"(5, 8)",521.1000000000001,0.32
RC102,10.0,9,2023-08-05,0.99,10387,12.041371765,4,472.0,"(4, 8)",456.20000000000005,3,374.3,"(8, 9)",374.1000000000001,26.1
RC103,10.0,9,2023-08-05,0.99,16218,16.658139964,4,419.0,"(4, 8)",414.1,3,344.8,"(8, 9)",344.6,21.52
RC104,10.0,9,2023-08-05,0.99,10118,10.760460222,3,344.4,"(8, 9)",334.8,3,322.8,"(8, 9)",322.8,6.69
RC105,10.0,8,2023-08-05,0.99,13017,15.333852457,4,490.3,"(5, 8)",474.5,4,484.7,"(5, 8)",480.6,1.16
RC106,10.0,3,2023-08-05,0.99,10721,16.476282949,4,519.9,"(4, 8)",424.6000000000001,3,354.5,"(8, 9)",353.50000000000006,46.66
RC107,10.0,3,2023-08-05,0.99,11691,18.137895617,3,351.8,"(8, 9)",345.40000000000003,3,314.9,"(8, 9)",314.90000000000003,11.72
RC108,10.0,8,2023-08-05,0.99,11238,12.679694777,3,345.1,"(8, 9)",331.5,3,305.6,"(8, 9)",305.40000000000003,12.93
RC201,10.0,1,2023-08-05,0.99,14536,15.877472967,3,516.7,"(7, 9)",443.5,3,701.4,"(6, 11)",692.5999999999999,-26.33
RC202,10.0,1,2023-08-05,0.99,20000,20.626671125,2,390.3,"(8, 17)",384.6000000000001,3,469.7,"(7, 10)",468.9000000000001,-16.9
RC203,10.0,10,2023-08-05,0.99,13010,11.271995178,3,422.3,"(8, 9)",420.30000000000007,3,450.4,"(7, 9)",450.0,-6.24
RC204,10.0,3,2023-08-05,0.99,10455,11.970066612,2,324.5,"(8, 17)",322.50000000000006,3,437.0,"(5, 13)",437.0,-25.74
RC205,10.0,1,2023-08-05,0.99,10037,11.229185459,3,562.3,"(7, 10)",462.50000000000006,3,751.5,"(6, 11)",738.3000000000001,-25.18
RC206,10.0,2,2023-08-05,0.99,10868,12.817678565,3,392.4,"(8, 9)",346.99999999999994,3,417.2,"(8, 9)",410.4000000000001,-5.94
RC207,10.0,4,2023-08-05,0.99,16905,14.587157768,2,314.8,"(8, 17)",307.80000000000007,3,399.9,"(7, 10)",397.50000000000006,-21.28
RC208,10.0,7,2023-08-05,0.99,13486,13.683412801,4,412.5,"(4, 8)",408.9000000000001,2,302.0,"(12, 13)",301.5,36.59
