ins_name,num_vehi,diff_b,diff_t,diff_d,diff_c,total_b,total_t,total_d,total_c,dis_b,dis_t,dis_d,dis_c,relative_gap_b,relative_gap_t,relative_gap_d,relative_gap_c,solve_time_b,solve_time_t,solve_time_d,solve_time_c
C105-50,5,Inf,776.0000000239995,1808.9999999999854,Inf,Inf,27030.499999946038,27058.400000000016,Inf,Inf,550.3000000000002,362.4000000000001,Inf,1.0,0.088,0.004,1.0,3600.0,3601.11,5.68,3600.0
C106-50,5,Inf,422.4000000000233,1558,Inf,Inf,26803.200000000033,27163.19999999999,Inf,Inf,422.00000000000006,362.40000000000003,Inf,1.0,0.0,0.0,1.0,3600.0,365.15,3.54,3600.0
C107-50,5,Inf,842.3999999999933,1532,Inf,Inf,27130.600000000028,29668.499999999993,Inf,Inf,533.5000000000001,362.40000000000003,Inf,1.0,0.147,0.0,1.0,3600.0,3621.84,6.21,3600.0
C108-50,5,Inf,Inf,1601.1999999999825,Inf,Inf,Inf,29084.700000000048,Inf,Inf,Inf,362.4000000000001,Inf,1.0,1.0,0.0,1.0,3600.0,3600.0,1909.64,3600.0
C109-50,5,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,1.0,1.0,1.0,1.0,3600.0,3600.0,3600.0,3600.0
C201-50,3,0,383.9999999999991,3764,Inf,85142.69999999992,80960.1,83604.60000000021,Inf,1214.6000000000001,1102.4,360.2000000000002,Inf,0.0,0.0,0.0,1.0,1148.23,30.5,1.15,3600.0
C202-50,3,4,378,4056.000000000029,Inf,94864.89999999902,67952.29999999295,88254.69999999995,Inf,1387.2999999999995,1160.5,360.19999999999993,Inf,1.0,0.069,0.0,1.0,3602.13,3623.89,83.88,3600.0
C203-50,3,Inf,Inf,3736.000000000029,Inf,Inf,Inf,85591.90000000008,Inf,Inf,Inf,359.8,Inf,1.0,1.0,0.0,1.0,3600.0,3600.0,1053.26,3600.0
C204-50,2,Inf,461.10000000099126,618.8999999999942,Inf,Inf,74708.09999992407,82689.80000000018,Inf,Inf,1218.5,350.1000000000001,Inf,1.0,0.656,0.079,1.0,3600.0,3614.03,3602.17,3600.0
C205-50,3,-1.8189894035458565e-12,254,3830,Inf,82835.00000000003,77249.39999999944,83840.30000000022,Inf,1386.3000000000002,771.0000000000001,359.8,Inf,0.0,0.0,0.0,1.0,1071.25,332.02,19.33,3600.0
C206-50,3,0,34.19999999999709,3419.199999999997,Inf,83611.79999998111,73767.80000000002,87713.70000000007,Inf,1460.9999999999998,843.2999999999998,359.8,Inf,0.0,0.002,0.0,1.0,3343.63,3612.04,51.71,3600.0
C207-50,3,1.9999999630008143,368,4082,Inf,81977.79999996198,66002.19999999972,88194.40000000002,Inf,1529.9,1026.0,359.59999999999997,Inf,1.0,0.01,0.0,1.0,3601.95,3604.08,201.69,3600.0
C208-50,2,Inf,75.50000000100181,580.6000000000004,Inf,Inf,71705.49999998912,83761.50000001083,Inf,Inf,549.2,350.5000000000001,Inf,1.0,0.021,0.0,1.0,3600.0,3603.3,82.86,3600.0
R101-50,12,833.0999990682126,1344.7999999994786,1737.0000000000002,1687.000000000001,5245.1999999939035,5127.700000000055,5294.200000000012,5346.30000000001,1419.4999999999998,1254.6,1044.0000000000005,1099.8000000000004,1.0,0.0,0.0,0.0,3605.1,98.11,10.89,0.46
R102-50,11,Inf,Inf,Inf,2281.4000000000233,Inf,Inf,Inf,5234.999999999709,Inf,Inf,Inf,1004.5000000000001,1.0,1.0,1.0,0.112,3600.0,3600.0,3600.0,3603.91
R103-50,9,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,1.0,1.0,1.0,1.0,3600.0,3600.0,3600.0,3600.0
R104-50,6,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,1.0,1.0,1.0,1.0,3600.0,3600.0,3600.0,3600.0
R105-50,9,242.99999967605885,469.5999999971224,1005.9999999999999,531.4000000000084,5281.400000005987,4933.599999999908,5354.199999999999,5567.899999999994,1143.6999999999998,995.3000000000003,899.3000000000003,1079.4999999999998,1.0,0.057,0.0,0.0,3605.38,3601.56,538.65,637.51
R106-50,5,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,1.0,1.0,1.0,1.0,3600.0,3600.0,3600.0,3600.0
R107-50,7,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,1.0,1.0,1.0,1.0,3600.0,3600.0,3600.0,3600.0
R108-50,6,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,1.0,1.0,1.0,1.0,3600.0,3600.0,3600.0,3600.0
R109-50,8,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,1.0,1.0,1.0,1.0,3600.0,3600.0,3600.0,3600.0
R110-50,7,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,1.0,1.0,1.0,1.0,3600.0,3600.0,3600.0,3600.0
R111-50,7,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,1.0,1.0,1.0,1.0,3600.0,3600.0,3600.0,3600.0
R112-50,6,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,1.0,1.0,1.0,1.0,3600.0,3600.0,3600.0,3600.0
R201-50,6,711.2999999999945,981.9999999999858,2693.9000000000024,Inf,20299.09999999999,19034.2,20582.100000000013,Inf,1826.8000000000009,1701.6000000000004,791.9000000000001,Inf,1.0,0.0,0.0,1.0,3606.25,303.91,247.64,3600.0
R202-50,5,Inf,738,2146.000000000001,Inf,Inf,14233.599999994061,22287.6,Inf,Inf,1691.8999999999999,784.9000000000001,Inf,1.0,0.041,0.246,1.0,3600.0,3600.64,3622.94,3600.0
R203-50,5,1103.5999999980206,1726,Inf,Inf,23880.79999999499,11517.599999964968,Inf,Inf,1942.0000000000005,1560.1000000000001,Inf,Inf,1.0,0.199,1.0,1.0,3606.03,3606.33,Inf,3600.0
R204-50,2,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,1.0,1.0,1.0,1.0,3600.0,3600.0,Inf,3600.0
R205-50,4,Inf,169.89999999998724,Inf,Inf,Inf,16572.89999999998,Inf,Inf,Inf,1489.0,Inf,Inf,1.0,0.028,1.0,1.0,3600.0,3609.39,Inf,3600.0
R206-50,4,819.000000002,340,Inf,Inf,21070.59999998299,12545.199999992983,Inf,Inf,1981.0000000000002,1365.3999999999999,Inf,Inf,1.0,0.079,1.0,1.0,3606.13,3604.91,Inf,3600.0
R207-50,2,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,1.0,1.0,1.0,1.0,3600.0,3600.0,Inf,3600.0
R208-50,2,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,1.0,1.0,1.0,1.0,3600.0,3600.0,Inf,3600.0
R209-50,4,Inf,378.9999999999998,Inf,Inf,Inf,15128.199999973973,Inf,Inf,Inf,1536.3,Inf,Inf,1.0,0.055,1.0,1.0,3600.0,3615.19,Inf,3600.0
R210-50,4,630.599999951999,1194.0000000000002,Inf,Inf,22302.39999996109,14386.499999965943,Inf,Inf,1806.5999999999997,1612.6999999999996,Inf,Inf,1.0,0.076,1.0,1.0,3604.71,3631.71,Inf,3600.0
R211-50,3,Inf,57.20000000002619,Inf,Inf,Inf,16431.800000000054,Inf,Inf,Inf,1467.5999999999997,Inf,Inf,1.0,0.309,1.0,1.0,3600.0,3605.89,Inf,3600.0
RC101-50,8,Inf,479.7999999950042,Inf,Inf,Inf,5380.999999996038,Inf,Inf,Inf,991.8,Inf,Inf,1.0,0.073,1.0,1.0,3600.0,3629.52,Inf,3600.0
RC102-50,7,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,1.0,1.0,1.0,1.0,3600.0,3600.0,Inf,3600.0
RC103-50,6,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,1.0,1.0,1.0,1.0,3600.0,3600.0,Inf,3600.0
RC104-50,5,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,1.0,1.0,1.0,1.0,3600.0,3600.0,Inf,3600.0
RC105-50,8,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,1.0,1.0,1.0,1.0,3600.0,3600.0,Inf,3600.0
RC106-50,6,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,1.0,1.0,1.0,1.0,3600.0,3600.0,Inf,3600.0
RC107-50,6,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,1.0,1.0,1.0,1.0,3600.0,3600.0,Inf,3600.0
RC108-50,6,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,1.0,1.0,1.0,1.0,3600.0,3600.0,Inf,3600.0
RC201-50,5,194.999999937986,802.0000000000002,Inf,Inf,20517.899999977988,18133,Inf,Inf,2245.9999999999995,1588.4,Inf,Inf,1.0,0.0,1.0,1.0,3604.81,245.81,Inf,3600.0
RC202-50,5,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,1.0,1.0,1.0,1.0,3600.0,3600.0,Inf,3600.0
RC203-50,4,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,1.0,1.0,1.0,1.0,3600.0,3600.0,Inf,3600.0
RC204-50,3,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,1.0,1.0,1.0,1.0,3600.0,3600.0,Inf,3600.0
RC205-50,5,Inf,1122,Inf,Inf,Inf,15814.799999995994,Inf,Inf,Inf,1935.0999999999997,Inf,Inf,1.0,0.013,1.0,1.0,3600.0,3604.48,Inf,3600.0
RC206-50,5,Inf,370,Inf,Inf,Inf,15435.800000000003,Inf,Inf,Inf,1516.0,Inf,Inf,1.0,0.0,1.0,1.0,3600.0,3209.09,Inf,3600.0
RC207-50,4,Inf,223,Inf,Inf,Inf,14512.499999972992,Inf,Inf,Inf,1522.7,Inf,Inf,1.0,0.063,1.0,1.0,3600.0,3611.03,Inf,3600.0
RC208-50,2,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,1.0,1.0,1.0,1.0,3600.0,3600.0,Inf,3600.0
C101-100,10,6366.299999999916,Inf,Inf,Inf,55019.600000000326,Inf,Inf,Inf,1115.6999999999996,Inf,Inf,Inf,1.0,1.0,1.0,1.0,3606.51,3600.0,Inf,Inf
C102-100,10,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,1.0,1.0,1.0,1.0,3600.0,3600.0,Inf,Inf
C103-100,10,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,1.0,1.0,1.0,1.0,3600.0,3600.0,Inf,Inf
C104-100,10,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,1.0,1.0,1.0,1.0,3600.0,3600.0,Inf,Inf
C105-100,10,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,1.0,1.0,1.0,1.0,3600.0,3600.0,Inf,Inf
C106-100,10,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,1.0,1.0,1.0,1.0,3600.0,3600.0,Inf,Inf
C107-100,10,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,1.0,1.0,1.0,1.0,3600.0,3600.0,Inf,Inf
C108-100,10,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,1.0,1.0,1.0,1.0,3600.0,3600.0,Inf,Inf
C109-100,10,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,1.0,1.0,1.0,1.0,3600.0,3600.0,Inf,Inf
C201-100,3,Inf,189.60000000000582,Inf,Inf,Inf,163634.40000000107,Inf,Inf,Inf,624.6000000000001,Inf,Inf,1.0,0.044,1.0,1.0,3600.0,3603.03,Inf,Inf
C202-100,3,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,1.0,1.0,1.0,1.0,3600.0,3600.0,Inf,Inf
C203-100,3,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,1.0,1.0,1.0,1.0,3600.0,3600.0,Inf,Inf
C204-100,3,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,1.0,1.0,1.0,1.0,3600.0,3600.0,Inf,Inf
C205-100,3,Inf,189.60000000000582,Inf,Inf,Inf,163614.90000000113,Inf,Inf,Inf,624.6000000000003,Inf,Inf,1.0,0.093,1.0,1.0,3600.0,3604.91,Inf,Inf
C206-100,3,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,1.0,1.0,1.0,1.0,3600.0,3600.0,Inf,Inf
C207-100,3,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,1.0,1.0,1.0,1.0,3600.0,3600.0,Inf,Inf
C208-100,3,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,1.0,1.0,1.0,1.0,3600.0,3600.0,Inf,Inf
R101-100,20,Inf,4352.800000000033,Inf,Inf,Inf,10727.599999999995,Inf,Inf,Inf,2078.100000000001,Inf,Inf,1.0,0.006,1.0,1.0,3600.0,3601.41,Inf,Inf
R102-100,18,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,1.0,1.0,1.0,1.0,3600.0,3600.0,Inf,Inf
R103-100,14,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,1.0,1.0,1.0,1.0,3600.0,3600.0,Inf,Inf
R104-100,11,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,1.0,1.0,1.0,1.0,3600.0,3600.0,Inf,Inf
R105-100,15,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,1.0,1.0,1.0,1.0,3600.0,3600.0,Inf,Inf
R106-100,13,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,1.0,1.0,1.0,1.0,3600.0,3600.0,Inf,Inf
R107-100,11,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,1.0,1.0,1.0,1.0,3600.0,3600.0,Inf,Inf
R108-100,9,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,1.0,1.0,1.0,1.0,3600.0,3600.0,Inf,Inf
R109-100,13,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,1.0,1.0,1.0,1.0,3600.0,3600.0,Inf,Inf
R110-100,12,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,1.0,1.0,1.0,1.0,3600.0,3600.0,Inf,Inf
R111-100,12,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,1.0,1.0,1.0,1.0,3600.0,3600.0,Inf,Inf
R112-100,10,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,1.0,1.0,1.0,1.0,3600.0,3600.0,Inf,Inf
R201-100,8,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,1.0,1.0,1.0,1.0,3600.0,3600.0,Inf,Inf
R202-100,8,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,1.0,1.0,1.0,1.0,3600.0,3600.0,Inf,Inf
R203-100,6,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,1.0,1.0,1.0,1.0,3600.0,3600.0,Inf,Inf
R204-100,5,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,1.0,1.0,1.0,1.0,3600.0,3600.0,Inf,Inf
R205-100,5,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,1.0,1.0,1.0,1.0,3600.0,3600.0,Inf,Inf
R206-100,4,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,1.0,1.0,1.0,1.0,3600.0,3600.0,Inf,Inf
R207-100,4,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,1.0,1.0,1.0,1.0,3600.0,3600.0,Inf,Inf
R208-100,4,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,1.0,1.0,1.0,1.0,3600.0,3600.0,Inf,Inf
R209-100,5,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,1.0,1.0,1.0,1.0,3600.0,3600.0,Inf,Inf
R210-100,6,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,1.0,1.0,1.0,1.0,3600.0,3600.0,Inf,Inf
R211-100,4,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,1.0,1.0,1.0,1.0,3600.0,3600.0,Inf,Inf
RC101-100,15,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,1.0,1.0,1.0,1.0,3600.0,3600.0,Inf,Inf
RC102-100,14,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,1.0,1.0,1.0,1.0,3600.0,3600.0,Inf,Inf
RC103-100,11,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,1.0,1.0,1.0,1.0,3600.0,3600.0,Inf,Inf
RC104-100,10,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,1.0,1.0,1.0,1.0,3600.0,3600.0,Inf,Inf
RC105-100,15,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,1.0,1.0,1.0,1.0,3600.0,3600.0,Inf,Inf
RC106-100,13,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,1.0,1.0,1.0,1.0,3600.0,3600.0,Inf,Inf
RC107-100,12,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,1.0,1.0,1.0,1.0,3600.0,3600.0,Inf,Inf
RC108-100,11,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,1.0,1.0,1.0,1.0,3600.0,3600.0,Inf,Inf
RC201-100,9,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,1.0,1.0,1.0,1.0,3600.0,3600.0,Inf,Inf
RC202-100,8,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,1.0,1.0,1.0,1.0,3600.0,3600.0,Inf,Inf
RC203-100,5,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,1.0,1.0,1.0,1.0,3600.0,3600.0,Inf,Inf
RC204-100,4,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,1.0,1.0,1.0,1.0,3600.0,3600.0,Inf,Inf
RC205-100,7,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,1.0,1.0,1.0,1.0,3600.0,3600.0,Inf,Inf
RC206-100,7,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,1.0,1.0,1.0,1.0,3600.0,3600.0,Inf,Inf
RC207-100,6,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,1.0,1.0,1.0,1.0,3600.0,3600.0,Inf,Inf
RC208-100,4,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,1.0,1.0,1.0,1.0,3600.0,3600.0,Inf,Inf
