ins,comp0,comp1,comp2,comp3,dis0,dis1,dis2,minDD
C101,46708.5,64357.0,64357.0,64418.1,827.3,827.3,827.3,827.3
C102,46708.5,66170.9,64529.1,59693.1,827.3,1166.2,953.9,953.9
C103,47718.7,66321.3,65275.3,60709.3,826.3,1123.2,883.9,883.9
C104,47366.7,70654.4,67154.7,60058.5,822.9,1086.3,889.7,889.7
C105,46708.5,65382.7,63469.5,62659.4,827.3,1279.3,1033.1,1033.1
C106,46708.5,64345.5,64357.0,64559.8,827.3,941.0,827.3,827.3
C107,46708.5,62414.6,62660.1,59757.3,827.3,1196.3,1064.6,1064.6
C108,46708.5,65734.0,63820.7,60858.3,827.3,999.6,901.5,901.5
C109,46708.5,63203.7,64357.0,64630.9,827.3,938.9,827.3,827.3
C201,155221.0,175896.9,175511.5,171560.3,589.1,825.2,678.3,678.3
C202,155221.0,175413.0,174082.3,174082.3,589.1,1072.1,681.5,681.5
C203,155266.1,172474.4,161382.4,161382.4,588.7,1295.3,758.6,758.6
C204,155216.2,192759.2,154606.0,154606.0,588.1,1341.6,791.7,791.7
C205,155180.2,178335.1,172008.5,172008.5,586.4,1101.1,673.1,673.1
C206,155183.2,173859.6,171608.2,171608.2,586.0,1396.6,714.0,714.0
C207,156185.4,171321.9,168964.1,168964.1,585.8,1109.8,689.7,689.7
C208,157201.4,173535.7,166018.2,166018.2,585.8,1209.4,679.2,679.2
R101,10408.2,17075.5,15169.5,15169.5,1645.7,2586.7,1827.9,1827.9
R102,10777.3,15231.7,15590.9,15590.9,1481.2,2240.8,1673.1,1673.1
R103,11386.2,13879.7,14546.0,14546.0,1288.1,1989.9,1422.0,1422.0
R104,11307.6,13192.5,14279.9,14279.9,1002.4,1527.5,1204.1,1204.1
R105,10296.0,14219.4,14014.3,14014.3,1372.3,1819.5,1576.6,1576.6
R106,10463.8,13800.8,14462.4,14462.4,1247.4,1805.4,1367.6,1367.6
R107,11876.1,13270.4,14023.1,14023.1,1100.1,1622.8,1176.1,1176.1
R108,10603.0,11958.2,13392.7,13392.7,956.4,1532.1,1016.3,1016.3
R109,10377.7,13228.0,12865.0,12865.0,1189.8,1550.6,1296.9,1296.9
R110,10739.7,13078.7,12868.2,12868.2,1114.4,1621.2,1237.5,1237.5
R111,10619.6,13654.8,14186.8,14186.8,1189.8,1658.9,1211.1,1211.1
R112,10752.4,12816.3,12776.7,12776.7,977.7,1421.9,990.5,990.5
R201,44065.3,48872.8,48912.5,48912.5,1248.4,1686.3,1297.8,1297.8
R202,43462.4,53436.5,50022.4,50022.4,1187.9,1592.6,1096.6,1096.6
R203,45651.9,49275.0,48349.2,48349.2,935.7,1558.9,949.7,949.7
R204,51001.0,49075.2,41745.6,41745.6,821.1,1700.2,863.3,863.3
R205,43690.2,45477.3,46508.8,46508.8,990.3,1717.8,1039.4,1039.4
R206,41257.9,46932.5,46668.1,46668.1,902.4,1696.1,998.6,998.6
R207,53451.7,45948.3,43573.2,43573.2,886.6,1657.4,914.1,914.1
R208,46639.7,41766.1,38064.3,38064.3,722.6,1555.2,792.7,792.7
R209,45218.1,46829.5,44337.1,44337.1,904.9,1740.9,917.5,917.5
R210,45920.8,47285.4,46121.9,46121.9,935.3,1628.0,1012.7,1012.7
R211,46238.9,46686.0,46065.0,46065.0,882.0,1577.0,858.2,858.2
RC101,10979.1,14745.0,14644.5,14644.5,1693.2,2105.7,1843.1,1843.1
RC102,11507.8,15027.7,14728.6,14728.6,1551.1,2037.9,1613.5,1613.5
RC103,11693.0,13433.8,14831.6,14831.6,1258.0,1862.0,1433.1,1433.1
RC104,11227.9,12685.2,12985.7,12985.7,1132.3,1489.6,1226.9,1226.9
RC105,11142.7,15050.8,14847.3,14847.3,1625.0,2145.7,1717.2,1717.2
RC106,11093.5,14298.1,13730.5,13730.5,1421.0,1884.7,1523.3,1523.3
RC107,11163.1,13540.3,13970.5,13970.5,1227.1,1760.2,1361.9,1361.9
RC108,11362.6,13903.3,14340.4,14340.4,1136.3,1773.2,1421.6,1421.6
RC201,41647.9,46255.2,46783.3,46783.3,1403.3,1957.5,1409.6,1409.6
RC202,43558.9,51022.2,47113.7,47113.7,1362.7,1884.0,1315.5,1315.5
RC203,40691.6,50050.6,51088.5,51088.5,1046.3,1738.5,1064.1,1064.1
RC204,44398.0,41403.8,40090.2,40090.2,795.5,1612.2,819.5,819.5
RC205,42784.1,45620.5,45992.3,45992.3,1294.3,1921.4,1383.9,1383.9
RC206,41911.4,43675.6,44489.7,44489.7,1143.3,1868.3,1161.4,1161.4
RC207,42569.6,45548.0,44417.7,44417.7,1057.8,1759.8,1053.7,1053.7
RC208,42289.3,42070.2,47748.1,47748.1,825.1,1704.2,924.9,924.9