ins,comp0,comp1,comp2,comp3,dis0,dis1,dis2,dis3
C101,64356.999999999956,91208.0,64590.90000000004,64440.70000000003,827.3000000000001,1716.7999999999997,942.4000000000002,949.4000000000002
C102,64356.99999999995,64122.9,57290.60000000002,57126.7,827.3000000000001,1159.1999999999998,1716.7999999999997,1718.3
C103,65538.99999999997,65877.1,61407.000000000044,61373.900000000016,826.3000000000001,1203.6999999999998,1230.3999999999996,1245.6
C104,65200.10000000006,70654.40000000001,60562.500000000015,60514.00000000004,822.8999999999999,1086.2999999999993,1151.8999999999999,1166.8999999999999
C105,64356.999999999956,64233.6,63477.799999999996,63176.79999999999,827.3000000000001,1240.3,1945.6999999999994,1973.5999999999997
C106,64356.999999999956,64372.10000000001,62317.00000000005,61940.100000000006,827.3000000000001,1022.0,1517.5999999999995,1588.8999999999994
C107,64356.999999999956,62393.2,60063.1,59725.9,827.3000000000001,1147.3999999999999,1614.2999999999995,1817.8999999999987
C108,64356.99999999997,64345.80000000001,59090.699999999975,58956.700000000026,827.3000000000001,970.9,1397.3999999999999,1447.3999999999996
C109,64356.99999999997,62962.900000000016,60055.00000000002,60055.00000000002,827.3000000000001,929.9999999999999,1019.5999999999996,1019.5999999999996
C201,173464.20000000004,177166.7,171583.80000000002,171583.80000000002,589.1000000000001,881.4999999999999,1683.3,1672.7999999999997
C202,173464.19999999998,181273.8,150238.59999999998,149589.49999999997,589.1,1235.5999999999995,2177.3999999999983,2164.4
C203,173522.60000000003,181210.0,125100.5,123226.40000000004,588.7,1289.9999999999998,2366.2,2464.899999999999
C204,173458.0,177649.80000000008,115523.40000000007,112817.80000000005,588.1000000000001,1655.6999999999994,1634.7999999999995,1525.6
C205,173420.40000000005,175600.70000000007,169048.3,168823.40000000002,586.4000000000001,1051.1999999999994,3145.9999999999986,3523.4
C206,173422.80000000002,173651.2,157235.39999999997,157097.8,586.0000000000001,1099.5000000000002,1556.1,1422.1999999999994
C207,174504.49999999997,171405.80000000005,149904.8,149480.2,585.8000000000002,1162.1000000000001,1976.6999999999991,2004.1999999999998
C208,175603.49999999994,175478.10000000003,151190.40000000005,150095.50000000003,585.8000000000001,1182.5999999999997,1436.5999999999997,1264.6
R101,14444.900000000001,16939.800000000007,15393.2,15004.200000000003,1645.7,2512.900000000001,2459.499999999999,2314.6
R102,14549.099999999999,15740.199999999995,13462.499999999998,13090.099999999999,1481.1999999999994,2215.600000000001,2336.9,2329.799999999999
R103,14770.500000000002,14320.599999999999,11528.499999999998,11354.7,1288.1,1808.2999999999997,2103.3999999999996,2051.9999999999995
R104,14125.399999999996,11658.600000000006,10421.8,10102.999999999998,1002.3999999999997,1617.1000000000004,1636.3000000000009,1554.3000000000002
R105,13524.60000000001,14355.800000000001,13486.5,13328.3,1372.3000000000002,1899.3000000000002,1950.6000000000001,1983.9
R106,13513.000000000002,13463.499999999998,11936.499999999996,11872.1,1247.3999999999996,1737.8000000000002,1896.8999999999992,1926.3
R107,14853.800000000005,13089.399999999996,11154.900000000001,10949.6,1100.1,1627.7000000000003,1615.8999999999999,1594.1
R108,13315.7,11850.90000000001,10078.800000000003,10078.800000000003,956.3999999999999,1479.0000000000002,1435.6000000000004,1435.6000000000004
R109,13283.399999999996,13450.399999999994,12051.200000000003,11961.199999999995,1189.8000000000004,1718.3000000000006,1593.4000000000003,1587.1999999999996
R110,13612.499999999996,13435.699999999999,10810.8,10607.999999999995,1114.4000000000003,1678.5000000000007,1583.8000000000006,1589.4999999999998
R111,13584.999999999993,13521.700000000004,11076.699999999995,10754.300000000001,1189.8000000000004,1580.1,1630.1999999999994,1560.5000000000007
R112,13469.900000000003,11902.600000000002,11066.8,11066.8,977.7,1400.9000000000008,1256.6000000000006,1256.6000000000006
R201,48525.90000000002,48750.899999999965,45439.700000000004,45374.7,1248.4000000000003,1667.0000000000002,2231.1000000000004,2381.7999999999993
R202,47126.800000000025,53436.49999999998,38310.6,38185.299999999996,1187.9,1592.5999999999992,2016.0000000000005,1934.7
R203,49379.799999999996,49554.49999999998,31906.200000000008,31906.200000000008,935.7000000000003,1575.5999999999995,1691.7000000000003,1691.7000000000003
R204,53898.1,49075.19999999999,28475.199999999997,27913.80000000001,821.0999999999999,1700.1999999999998,1108.4000000000003,1124.1000000000004
R205,47112.89999999999,45500.5,39467.59999999999,39354.69999999999,990.3000000000002,1638.9999999999998,1736.9999999999998,1736.5
R206,44678.4,45695.50000000003,33524.999999999985,33398.3,902.4000000000001,1687.2999999999995,1683.1999999999998,1660.0999999999997
R207,56341.19999999999,45948.30000000001,31388.399999999994,24256.899999999998,886.6,1657.399999999999,1458.0000000000002,1074.1000000000001
R208,49370.500000000015,55476.399999999994,26666.100000000002,26277.699999999993,722.6000000000003,1623.7000000000003,996.7999999999997,1015.2999999999998
R209,48521.3,47266.2,33928.39999999999,33769.09999999999,904.9000000000003,1776.8000000000004,1761.2999999999997,1808.8999999999999
R210,49540.800000000025,49079.09999999998,34564.100000000006,34489.7,935.2999999999998,1683.5000000000002,1730.4,1839.2000000000005
R211,48989.200000000026,46686.0,31036.999999999996,31036.999999999996,882.0,1576.9999999999998,1301.9999999999998,1301.9999999999998
RC101,14396.500000000004,14860.800000000003,14375.099999999997,14211.099999999999,1693.1999999999998,2124.9,2167.7999999999997,2172.1000000000004
RC102,14740.100000000002,15045.700000000006,13072.2,12874.300000000003,1551.1000000000006,2161.3999999999996,2140.2999999999993,2141.599999999999
RC103,14797.200000000004,13655.000000000004,11935.199999999993,11633.099999999999,1258.0,1809.5999999999997,1990.7999999999993,1902.5999999999997
RC104,14118.099999999995,12696.800000000001,11395.1,11113.800000000005,1132.3000000000004,1490.0000000000005,1543.8999999999996,1562.6000000000001
RC105,14443.900000000001,15257.400000000003,13484.800000000003,13333.5,1625.0000000000002,2169.7000000000003,2438.199999999999,2344.9999999999995
RC106,14135.79999999999,14168.400000000003,12887.400000000001,12685.400000000001,1420.9999999999998,1837.4999999999998,1727.3000000000004,1688.1000000000001
RC107,14160.699999999995,13392.100000000002,12010.10000000001,12010.10000000001,1227.1000000000004,1775.5000000000002,1750.8,1750.8
RC108,14236.60000000001,13914.600000000004,11884.600000000002,11577.200000000003,1136.3,1809.0000000000002,1474.3999999999996,1493.4999999999998
RC201,45871.899999999994,46255.200000000004,43624.19999999999,43539.49999999999,1403.2999999999997,1957.5000000000007,2516.4999999999995,2519.999999999999
RC202,47130.19999999998,51097.5,37206.899999999994,36977.79999999999,1362.6999999999996,1827.8,2028.6999999999991,2101.299999999999
RC203,44251.40000000001,50050.60000000002,32158.49999999999,32158.49999999999,1046.3,1738.4999999999995,1922.8999999999992,1922.8999999999992
RC204,47839.400000000016,36979.59999999999,25559.999999999996,25237.399999999987,795.5000000000003,1493.7999999999997,1467.3000000000004,1223.1000000000004
RC205,47098.70000000001,45337.70000000002,39495.3,39411.399999999994,1294.3,1915.1999999999996,2123.7999999999993,2242.3
RC206,45254.1,43675.6,37509.09999999999,37492.9,1143.2999999999995,1868.3000000000006,2042.2999999999995,2095.0999999999995
RC207,45898.799999999996,45547.99999999999,33120.50000000001,32580.199999999997,1057.8,1759.7999999999997,1981.1000000000001,1969.2
RC208,45443.90000000001,42170.700000000004,32011.199999999986,30198.800000000003,825.1,1703.3000000000002,1349.2000000000003,1241.6999999999998
